hud_area_code,hud_area_name,total_units,fmr_afford_units,safmr_afford_units,fmr_afford_pct,safmr_afford_pct,diff_afford_units,diff_afford_pct
,All SAFMR Areas,6400440.636144248,2500660.5774022387,2723175.8635190595,0.39070131566889843,0.42546693553266896,222515.28611682076,8.898260248816987
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR
Area",584755,240663.5,267764.5,0.4115629622662483,0.4579088678164359,27101,11.260951494514124
METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",170781,57675,64241,0.33771321165703444,0.37616011148781187,6566,11.384482011270048
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR
Area",214574,86394.5,94177,0.4026326581971721,0.43890219691108895,7782.5,9.008096580222121
METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",870900,324162.5,343920.5,0.37221552417039844,0.394902399816282,19758,6.095091196544942
METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",71519,25781,28470,0.36047763531369287,0.3980760357387547,2689,10.430161747023002
METRO19100M19100,"Dallas, TX HUD Metro FMR Area",564569.1189568102,218960.6314407085,246297.14708671934,0.38783671314735707,0.4362568529107969,27336.51564601084,12.484671543986293
METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",213688,79773.5,87188.5,0.37331764067238216,0.40801776421698926,7415,9.295066657473972
METRO19100MM2800,"Fort Worth-Arlington, TX HUD Metro FMR Area",240719.13980310282,98611.86496301471,111475.23017177932,0.4096552731273246,0.46309250798653123,12863.365208764604,13.044439645867287
METRO16980MM2960,"Gary, IN HUD Metro FMR Area",63166,27635.5,26385.5,0.4375059367381186,0.4177168096760916,-1250,-4.523167664778998
METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro
FMR Area",121203,49104,48483.5,0.405138486671122,0.4000189764279762,-620.5,-1.2636445096122515
METRO27140M27140,"Jackson, MS HUD Metro FMR Area",50227,20723.5,21216.5,0.4125968104804189,0.42241224839229896,493,2.3789417810697997
METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",145936,58416.5,64203,0.4002884826225195,0.43993942550158976,5786.5,9.90559174205918
METRO35620MM5190,"Monmouth-Ocean, NJ HUD Metro FMR Area",75795.3358447197,30633.525823205793,29115.02207632819,0.4041610935792151,0.38412682986160945,-1518.5037468776027,-4.956999581573766
METRO35840M35840,"North Port-Sarasota-Bradenton, FL MSA",76418.05931034483,32035.284827586205,31086.78827586207,0.4192109184229118,0.40679897600662834,-948.4965517241362,-2.9607870097891795
METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",51246,18925,22380.5,0.36929711587245834,0.4367267689185497,3455.5,18.25891677675033
METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",581531.0415396154,240731.05517530962,245718.17108078444,0.4139607999909501,0.4225366378211566,4987.115905474813,2.0716545698032203
METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",220210,87734,88736.5,0.3984106080559466,0.4029630806956996,1002.5,1.1426584904370027
METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro
FMR Area",229769,93205.5,97508,0.4056487167546536,0.4243740452367378,4302.5,4.6161438970876185
METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",242058,84649.5,108635,0.3497075081178891,0.44879739566550164,23985.5,28.33507581261555
METRO41740M41740,"San Diego-Carlsbad, CA MSA",429988,168800,177961.5,0.392569094951487,0.4138755035024233,9161.5,5.4274289099526065
METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",330209.9406896552,135179.7151724138,142668.5048275862,0.409375062695224,0.43205393674587134,7488.789655172412,5.5398767822678865
METRO46520M46520,"Urban Honolulu, HI MSA",102358,34524.5,41485.5,0.33729166259598664,0.40529807147462826,6961,20.1624933018581
METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro
FMR Area",612177,235311,273627,0.3843839281776349,0.4469736693799342,38316,16.28313168530158
METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",136643,51029.5,60431,0.3734512561931456,0.44225463433911727,9401.5,18.423656904339648
